,repo_full_name,num_commits,num_contributors,age_months,start_analysis_date,end_analysis_date,last_commit_hash,num_stars,num_forks,iac_total_blocks,iac_total_depth,iac_total_loc,iac_total_nloc,iac_file_ratio,tf_file_ratio_percent,tf_file_count,total_file_count,monthly_commit_frequency
0,apache/beam,42445,1685,114,2014-12-13T10:56:14-08:00,2024-05-31T22:41:48-04:00,51525d34cfaa53b4cb4d3995f476a4011636be30,8151.0,4358.0,594,4021,3829,173,0.0777388180962969,0.0122295390404515,143,11693,369.0869565217391
1,kubernetes-sigs/kubespray,7695,1245,104,2015-10-03T22:18:11+02:00,2024-05-31T07:05:01-07:00,351393e32a04add0459e02e3a60af5648db9bfe4,17177.0,6684.0,714,4333,4031,304,0.9031055900621118,0.1043478260869565,84,805,73.28571428571429
2,clong/DetectionLab,1222,92,78,2017-12-11T08:49:25-08:00,2023-03-26T22:51:34-07:00,a4fd7271271e89ea597d1513f70b3611405c0135,4772.0,1001.0,157,1694,1492,209,0.251937984496124,0.1201550387596899,31,258,19.09375
3,terraform-google-modules/terraform-google-kubernetes-engine,1689,282,70,2018-08-13T05:21:25-07:00,2024-05-30T08:22:06-07:00,4fab404c2f63abcd5070b922edd024e24d8294b9,1208.0,1216.0,3567,32243,29263,2785,0.8936170212765957,0.8138297872340425,459,564,23.7887323943662
4,terraform-aws-modules/terraform-aws-security-group,210,63,80,2017-10-01T23:25:02+02:00,2024-03-12T17:10:26+00:00,20e107f1658bc5c8b23efce2e17406e74e6cbeae,581.0,1107.0,4857,33007,28216,4795,0.9968152866242038,0.9936305732484076,312,314,2.6923076923076925
5,Azure/terraform-azurerm-caf-enterprise-scale,553,57,45,2020-09-23T17:11:55+00:00,2024-05-10T22:06:30+01:00,f7e8114a9a57250ee6030be306023e297fbf7bba,917.0,618.0,548,9625,8689,970,0.8661971830985915,0.8028169014084507,114,142,12.568181818181818
6,alphagov/govuk-aws,4172,141,84,2017-06-30T13:33:14+01:00,2024-05-21T16:57:50+01:00,02143c9af6fd8a8b1c735b43fe456d3d521dab3a,4.0,0.0,1389,11231,10359,803,0.6556291390728477,0.6556291390728477,99,151,49.66666666666666
8,oracle-terraform-modules/terraform-oci-oke,654,48,63,2019-03-22T18:34:02-04:00,2024-05-20T19:50:43+10:00,02aeaebbf7bcade5b01e5002c056410a214b03dd,171.0,230.0,1146,9678,8669,1100,0.9085365853658536,0.8597560975609756,141,164,10.38095238095238
9,nasa/cumulus,16556,91,91,2016-11-08T12:11:21-05:00,2024-05-31T09:47:17-04:00,d1b73fab5654099688111b397cb572a4df23c902,270.0,113.0,1278,11370,10600,796,0.1769041769041769,0.1736281736281736,212,1221,179.95652173913044
10,returntocorp/semgrep-rules,3725,268,53,2020-01-21T16:19:56-08:00,2024-05-28T11:15:56+09:00,95ac72318a8a465327778be07830e2fc628c1d42,922.0,445.0,1605,23395,20910,2628,0.6273043013625434,0.0967138658829815,362,3743,70.28301886792453
11,claranet/terraform-datadog-monitors,1492,44,83,2017-07-03T19:05:02+02:00,2024-02-14T17:18:43+01:00,409c6a8fb8c01ca771d1cc32e0b4e591146f13bd,128.0,72.0,4069,27310,25808,1964,1.0,1.0,549,549,18.419753086419757
12,rust-lang/simpleinfra,1510,49,83,2017-07-21T21:01:46+00:00,2024-05-30T15:44:02+02:00,433efb52073f7583796e8957a2a8f688ff739312,155.0,83.0,1301,14580,13084,1270,0.664323374340949,0.4762741652021089,271,569,18.19277108433735
13,kbst/terraform-kubestack,607,31,66,2018-12-14T19:57:44-08:00,2024-03-02T04:01:21+01:00,12aa51ba49d9435f0634eb434c2137c1c7de6601,,,536,5197,4246,956,0.9685534591194968,0.9685534591194968,154,159,9.634920634920634
14,camptocamp/devops-stack,1203,37,45,2020-09-17T17:07:22+02:00,2024-05-31T11:50:20+02:00,a2351bd51a8b7f39f7c8dd72ae45bf92506b4d66,,,378,5126,4473,719,0.6867469879518072,0.6024096385542169,50,83,26.73333333333333
15,microsoft/azure_arc,12661,122,52,2020-02-17T14:56:11-08:00,2024-05-30T16:40:28-04:00,e67a6362fe57f823b0c51e3c37a4779214faf563,791.0,582.0,991,6852,6509,336,0.43804537521815,0.1675392670157068,96,573,243.48076923076923
16,chanzuckerberg/cztack,572,56,72,2018-06-29T09:02:15-07:00,2024-05-31T13:27:42-04:00,4c4d2f7fb57faaf790533db09cb67cb51d67dead,67.0,24.0,1306,9814,9111,879,0.7376543209876543,0.7314814814814815,237,324,7.944444444444445
