Row,chatgpt,claude,deepseek,gemini,gemma,qwen
1,0,0.0714285714285714,0.107142857142857,0,0.125,0.142857142857143
2,0.25,0.428571428571429,0,0.125,0.125,0.0178571428571429
3,0.125,0.25,0.125,0.25,0.125,0.125
4,0,0.125,0,0,0,0
5,0.25,0.25,0.25,0.25,0.357142857142857,0.375
6,0.303571428571429,0.125,0.267857142857143,0.25,0.125,0.25
7,0,0,0.0535714285714286,0,0,0
8,0.125,0,0.125,0.125,0.125,0
9,0.125,0,0,0.125,0.125,0.107142857142857
10,0.125,0.25,0.25,0.125,0,0.125
11,0,0,0,0.125,0,0.125
12,0,0,0.0357142857142857,0.125,0,0
13,0,0.0357142857142857,0,0.125,0,0
14,0.160714285714286,0.25,0.178571428571429,0,0.125,0.25
15,0,0.142857142857143,0,0,0.0178571428571429,0
16,0.160714285714286,0.125,0.160714285714286,0.125,0.214285714285714,0.214285714285714
17,0,0,0,0,0,0.0892857142857143
18,0,0.0892857142857143,0,0,0,0
19,0.25,0.303571428571429,0.232142857142857,0.25,0.375,0.25
20,0.125,0.25,0.125,0.125,0.25,0.125
21,0.267857142857143,0.214285714285714,0.196428571428571,0.125,0.25,0.375
22,0,0.125,0,0,0,0
23,0,0.214285714285714,0.0535714285714286,0,0,0.142857142857143
24,0.25,0.339285714285714,0.375,0.285714285714286,0.410714285714286,0.357142857142857
25,0.178571428571429,0.107142857142857,0.125,0.125,0,0.125
26,0,0,0,0,0,0.125
27,0,0.125,0,0,0,0
28,0.125,0.375,0.0357142857142857,0.125,0.25,0.125
29,0,0,0,0,0,0.125
30,0,0,0,0,0,0
31,0,0,0,0,0,0
32,0.375,0.25,0.321428571428571,0.375,0.25,0.375
33,0.125,0.125,0.142857142857143,0.25,0.0357142857142857,0.25
34,0.125,0.232142857142857,0.0892857142857143,0.125,0.125,0
35,0.125,0,0,0.125,0.0178571428571429,0
36,0.125,0.25,0.125,0.125,0.25,0.125
37,0.375,0.375,0.25,0.25,0.178571428571429,0.339285714285714
38,0,0,0,0,0,0
39,0.25,0.339285714285714,0.25,0.25,0.214285714285714,0.267857142857143
40,0,0.125,0,0,0,0
41,0.25,0.125,0.25,0.25,0.125,0.125
42,0,0.125,0.107142857142857,0.125,0.125,0
43,0.125,0.125,0,0,0.125,0
44,0,0.125,0,0,0.125,0.0178571428571429
45,0,0,0.0357142857142857,0,0.125,0.0535714285714286
46,0,0.125,0,0.125,0.125,0.25
47,0,0.0178571428571429,0,0,0,0
48,0.125,0.25,0.125,0.125,0.125,0
49,0.0892857142857143,0.125,0.0892857142857143,0.125,0.25,0.267857142857143
50,0.107142857142857,0.25,0.125,0.125,0.25,0.125
51,0.0535714285714286,0.125,0.125,0,0.25,0.125
52,0.321428571428571,0.589285714285714,0.125,0.375,0.25,0.267857142857143
53,0.125,0.0714285714285714,0.0178571428571429,0.125,0,0.125
54,0.357142857142857,0.25,0.25,0.375,0.25,0.25
55,0.25,0.125,0.0178571428571429,0.25,0.125,0
56,0,0.125,0.125,0,0.125,0.0714285714285714
57,0,0.25,0.0357142857142857,0.125,0.125,0.125
58,0.0535714285714286,0.214285714285714,0,0,0.339285714285714,0.125
59,0.125,0.375,0.125,0.125,0.25,0.178571428571429
60,0.178571428571429,0.107142857142857,0.125,0.25,0.267857142857143,0.125
61,0.25,0.267857142857143,0.160714285714286,0.125,0.375,0.375
62,0.125,0.196428571428571,0.125,0.25,0.125,0.125
63,0.5,0.25,0.375,0.375,0.5,0.5
64,0.0178571428571429,0,0.125,0,0.0178571428571429,0.0178571428571429
65,0,0.125,0.0535714285714286,0.125,0,0
66,0,0.375,0,0.125,0.375,0
67,0.0892857142857143,0.125,0,0,0.107142857142857,0
68,0,0.0714285714285714,0,0,0.160714285714286,0
69,0.0178571428571429,0,0,0,0,0
70,0.25,0.125,0.178571428571429,0.125,0.25,0.125
71,0,0,0,0,0,0
72,0,0.125,0.125,0,0,0.142857142857143
73,0,0.25,0,0,0.25,0.125
74,0.125,0.357142857142857,0.142857142857143,0.125,0.25,0.125
75,0.25,0.25,0.25,0.25,0.375,0.25
76,0.125,0,0,0,0.0357142857142857,0
