Row,z_1,z_2
bnd_pnt_1,0.192791138190813,-1.82148169001939
bnd_pnt_2,-0.105108277988923,-1.93488888808762
bnd_pnt_3,0.115750175156682,-1.44273793975074
bnd_pnt_4,NaN,NaN
bnd_pnt_5,-1.35053467379326,-1.68905984448496
bnd_pnt_6,-1.27188485860114,-1.5163085769333
bnd_pnt_7,-0.76534051585062,-2.08345306026529
bnd_pnt_8,NaN,NaN
bnd_pnt_9,-0.63152077003281,-3.76788531821769
bnd_pnt_10,-0.752029798133471,-2.99814802245712
bnd_pnt_11,-0.221017285171895,-3.35685471679853
bnd_pnt_12,NaN,NaN
bnd_pnt_13,1.33346468246173,-0.475398962271518
bnd_pnt_14,1.16769979930069,-0.684704236997301
bnd_pnt_15,0.536468660388101,-0.761298029181518
bnd_pnt_16,NaN,NaN
bnd_pnt_17,1.07811813622172,4.18545396221163
bnd_pnt_18,1.19350834602105,4.37459203986243
bnd_pnt_19,1.55801167748453,3.1487838350351
bnd_pnt_20,NaN,NaN
bnd_pnt_21,1.55801167748453,3.1487838350351
bnd_pnt_22,2.43215043710761,2.85698353465074
bnd_pnt_23,2.44541527963571,2.60315818840787
