Row,chatgpt,claude,deepseek,gemini,gemma,qwen
1,0.125,0.142857142857143,0.125,0.125,0.125,0.321428571428571
2,0.25,0.5,0.25,0.196428571428571,0.375,0.375
3,0.25,0.285714285714286,0.25,0.125,0.25,0.125
4,0,0.232142857142857,0,0,0.0535714285714286,0.0892857142857143
5,0.25,0.25,0.25,0.25,0.25,0.25
6,0.267857142857143,0.125,0.25,0.25,0.125,0.25
7,0,0.107142857142857,0,0,0,0.107142857142857
8,0.125,0,0.0178571428571429,0.125,0.125,0
9,0.125,0.125,0.125,0.125,0.125,0.125
10,0.142857142857143,0.178571428571429,0.25,0.125,0.125,0.25
11,0,0,0,0.125,0.0357142857142857,0.125
12,0,0.107142857142857,0.125,0.125,0.107142857142857,0.125
13,0.0892857142857143,0,0,0.0714285714285714,0.125,0
14,0.25,0.25,0.125,0.125,0.125,0.25
15,0.125,0.25,0,0.0178571428571429,0.107142857142857,0
16,0.125,0.125,0.125,0.125,0.125,0.25
17,0,0.214285714285714,0,0,0.125,0.125
18,0,0.125,0,0,0.125,0.125
19,0.25,0.482142857142857,0.25,0.25,0.375,0.25
20,0.125,0.375,0.125,0.125,0.25,0.125
21,0.5,0.25,0.142857142857143,0.125,0.25,0.267857142857143
22,0,0.125,0,0,0,0
23,0.0714285714285714,0.25,0.0714285714285714,0,0.125,0.232142857142857
24,0.25,0.375,0.375,0.375,0.410714285714286,0.25
25,0.196428571428571,0.125,0.125,0.125,0.125,0.125
26,0,0,0,0,0,0.125
27,0,0.125,0,0,0.0714285714285714,0
28,0.125,0.375,0,0.125,0.25,0
29,0,0.0714285714285714,0,0,0,0.125
30,0,0.125,0,0,0,0.0178571428571429
31,0,0.0892857142857143,0,0,0,0.125
32,0.375,0.25,0.375,0.375,0.25,0.375
33,0.25,0.125,0.25,0.125,0.125,0.285714285714286
34,0,0.160714285714286,0.125,0,0.285714285714286,0.125
35,0.125,0.125,0,0.125,0,0.125
36,0.125,0.25,0.125,0.125,0.25,0.160714285714286
37,0.339285714285714,0.375,0.25,0.357142857142857,0.232142857142857,0.303571428571429
38,0.125,0.125,0,0.125,0.125,0.125
39,0.25,0.142857142857143,0.25,0.25,0.232142857142857,0.339285714285714
40,0,0.125,0,0,0.125,0
41,0.25,0.125,0.25,0.25,0.125,0.25
42,0,0.232142857142857,0.160714285714286,0.125,0.125,0.0178571428571429
43,0.125,0.125,0,0,0.196428571428571,0
44,0,0.160714285714286,0,0,0.125,0.125
45,0,0.107142857142857,0.142857142857143,0,0.125,0.375
46,0.0357142857142857,0.125,0.0535714285714286,0.125,0.125,0.25
47,0,0.0714285714285714,0,0,0.0357142857142857,0.107142857142857
48,0.125,0.25,0.125,0.125,0.321428571428571,0.125
49,0.25,0.160714285714286,0.214285714285714,0.125,0.25,0.285714285714286
50,0.125,0.25,0.25,0.25,0.25,0.357142857142857
