Row,Best_Algorithm
1,5
2,4
3,6
4,1
5,6
6,5
7,1
8,2
9,4
10,5
11,3
12,1
13,2
14,5
15,6
16,3
17,4
18,1
19,3
20,6
21,4
22,5
23,4
24,6
25,5
26,1
27,6
28,6
29,4
30,5
31,4
32,2
33,4
34,1
35,5
36,1
37,5
38,3
39,2
40,3
41,2
42,1
43,3
44,4
45,4
46,1
47,1
48,6
49,4
50,1
51,4
52,1
53,2
54,6
55,3
56,1
57,3
58,1
59,4
60,5
61,3
62,6
63,4
64,5
65,5
66,3
67,3
68,3
69,5
70,6
71,4
72,5
73,1
74,6
75,1
76,3
77,4
78,3
79,1
80,5
81,4
82,2
83,4
84,4
85,3
86,5
87,1
88,4
89,3
90,4
91,5
92,3
93,1
94,1
95,4
96,6
97,4
98,4
99,4
100,5
101,4
102,5
103,5
104,4
105,1
106,1
107,1
108,3
109,5
110,3
111,4
112,6
113,1
114,5
115,3
116,5
117,6
118,4
119,1
120,3
121,5
122,4
123,2
124,4
125,3
126,6
127,1
128,5
129,4
130,4
131,1
132,3
133,4
134,6
135,1
136,6
137,3
138,6
139,3
140,4
141,4
142,1
143,1
144,3
145,5
146,4
147,2
148,1
149,4
150,3
151,1
152,3
153,4
154,4
155,5
156,2
157,1
158,1
159,3
160,6
161,3
162,3
163,4
164,2
165,3
166,6
167,4
168,2
169,6
170,4
171,1
172,4
173,5
174,4
175,1
176,6
177,1
178,5
179,1
180,6
181,4
182,4
183,3
184,1
185,4
186,3
187,3
188,4
189,1
190,6
191,6
192,1
193,5
194,1
195,6
196,5
197,4
198,6
199,3
200,3
201,2
202,4
203,6
204,1
205,6
206,1
207,2
208,1
209,1
210,1
211,6
212,3
213,1
214,6
215,3
216,3
217,6
218,4
219,5
220,1
221,6
222,6
223,4
224,3
225,6
226,3
227,6
228,3
229,1
230,1
231,1
232,3
233,1
234,2
235,5
236,6
237,1
238,6
239,4
240,3
241,3
242,1
243,3
244,4
245,3
246,6
247,4
248,3
249,1
250,5
251,3
252,2
253,6
254,4
255,4
256,1
257,3
258,1
259,6
260,4
261,5
262,4
263,6
264,3
265,2
266,2
267,1
268,1
269,4
270,1
271,3
272,1
273,6
274,3
275,1
276,4
277,4
278,4
279,4
280,3
281,2
282,5
283,1
284,1
285,4
286,1
287,3
288,4
289,6
290,1
291,5
292,6
293,3
294,4
295,3
296,1
297,3
298,3
299,6
300,5
301,2
302,4
303,2
304,6
305,2
306,5
307,6
308,4
309,4
310,3
311,3
312,6
313,4
314,3
315,6
316,6
317,6
318,3
319,2
320,4
321,1
322,3
323,1
324,6
325,3
326,3
327,1
328,4
329,3
330,6
331,2
332,6
333,3
334,2
335,3
336,3
337,1
338,1
339,3
340,3
341,3
342,1
343,5
344,3
345,4
346,4
347,4
348,3
349,1
350,5
351,4
352,3
353,1
354,3
355,5
356,2
357,4
358,3
359,1
360,6
361,2
362,4
363,4
364,1
365,4
366,1
367,2
368,4
369,6
370,3
371,4
372,6
373,5
374,1
375,3
376,4
377,1
378,6
379,4
380,4
381,1
382,1
383,2
384,5
385,1
386,3
387,4
388,4
389,6
390,6
391,4
392,6
393,4
394,3
395,3
396,4
397,6
398,4
399,5
400,1
401,3
402,6
403,3
404,3
405,4
406,5
407,1
408,2
409,1
410,1
411,4
412,5
413,4
414,3
415,4
416,6
417,6
418,4
419,1
420,2
421,2
422,4
423,4
424,5
425,5
426,1
427,1
428,5
429,1
430,6
431,2
432,4
433,6
434,5
435,1
436,6
437,5
438,5
439,1
440,4
441,5
442,3
443,1
444,6
445,1
446,6
447,1
448,5
449,4
450,4
451,4
452,4
453,3
454,6
455,5
456,1
457,5
458,5
459,4
460,3
461,6
462,5
463,1
464,3
465,1
466,3
467,4
468,4
469,4
470,2
471,6
472,3
473,4
474,1
475,4
476,4
477,1
478,4
479,3
480,4
481,4
482,5
483,1
484,1
485,5
486,2
487,3
488,1
489,1
490,6
491,3
492,3
493,6
494,4
495,5
496,1
497,6
498,4
499,6
500,4
501,5
502,4
503,2
504,1
505,3
506,1
507,5
508,1
509,3
510,3
511,1
512,3
513,4
514,5
515,2
516,3
517,3
518,1
519,3
520,3
521,4
522,5
523,2
524,2
525,4
526,1
527,1
528,1
529,1
530,5
531,4
532,1
533,1
534,1
535,3
536,6
537,1
538,1
539,3
540,3
541,3
542,6
543,3
544,6
545,1
546,2
547,4
548,1
549,3
550,3
551,3
552,2
553,5
554,2
555,4
556,1
557,3
558,3
559,4
560,1
561,4
562,4
563,5
564,4
565,4
566,3
567,4
568,5
569,4
570,4
571,6
572,3
573,1
574,4
575,6
576,1
577,1
578,3
579,5
580,6
581,4
582,4
583,1
584,2
585,3
586,4
587,3
588,1
589,2
590,2
591,6
592,3
593,2
594,3
595,5
596,3
597,1
598,3
599,3
600,5
601,1
602,3
603,1
604,4
605,4
606,3
607,1
608,4
609,5
610,2
611,5
612,6
613,6
614,4
615,2
616,4
617,2
618,2
619,3
620,6
621,5
622,6
623,4
624,1
625,6
626,1
627,3
628,3
629,3
630,4
631,1
632,3
633,1
634,1
635,5
636,2
637,6
638,4
639,3
640,1
641,3
642,3
643,1
644,1
645,4
646,1
647,2
648,6
649,4
650,4
651,6
652,4
653,6
654,1
655,1
656,3
657,3
658,3
659,5
660,3
661,3
662,5
663,3
664,3
665,4
666,4
667,5
668,4
669,6
670,2
671,1
672,3
673,4
674,4
675,2
676,6
677,3
678,6
679,4
680,1
