Row,Best_Algorithm
1,4
2,4
3,4
4,4
5,4
6,2
7,2
8,2
9,2
10,4
11,2
12,2
13,2
14,4
15,4
16,2
17,4
18,2
19,4
20,4
21,4
22,2
23,4
24,4
25,2
26,2
27,2
28,4
29,2
30,2
31,2
32,4
33,2
34,4
35,2
36,4
37,4
38,2
39,4
40,2
41,2
42,4
43,2
44,4
45,2
46,2
47,2
48,4
49,4
50,4
51,2
52,4
53,2
54,4
55,4
56,2
57,4
58,2
59,4
60,4
61,4
62,4
63,4
64,2
65,2
66,4
67,2
68,4
69,2
70,4
71,2
72,2
73,4
74,4
75,4
76,2
77,4
78,4
79,4
80,2
81,4
82,2
83,2
84,2
85,4
86,2
87,4
88,4
89,2
90,2
91,4
92,2
93,4
94,4
95,4
96,2
97,4
98,2
99,2
100,2
101,4
102,4
103,4
104,4
105,2
106,4
107,2
108,4
109,4
110,4
111,2
112,2
113,4
114,2
115,4
116,4
117,2
118,4
119,4
120,4
121,2
122,4
123,4
124,4
125,4
126,4
127,4
128,2
129,2
130,2
131,4
132,2
133,4
134,2
135,2
136,2
137,4
138,4
139,4
140,4
141,2
142,4
143,2
144,4
145,2
146,4
147,2
148,4
149,4
150,2
151,4
152,4
153,4
154,4
155,2
156,4
157,2
158,2
159,4
160,4
161,4
162,2
163,2
164,2
165,4
166,4
167,2
168,2
169,4
170,4
171,4
172,2
173,2
174,2
175,4
176,4
177,4
178,2
179,2
180,2
181,4
182,4
183,4
184,4
185,4
186,4
187,2
188,4
189,2
190,2
191,2
192,2
193,4
194,2
195,4
196,4
197,2
198,4
199,4
200,2
201,2
202,2
203,4
204,4
205,4
206,4
207,2
208,4
209,4
210,2
211,4
212,4
213,4
214,4
215,4
216,4
217,4
218,4
219,4
220,2
221,2
222,4
223,2
224,2
225,2
226,2
227,4
228,2
229,2
230,2
231,4
232,2
233,2
234,2
235,4
236,4
237,2
238,2
239,2
240,4
241,2
242,2
243,2
244,4
245,4
246,4
247,2
248,4
249,4
250,2
251,2
252,2
253,4
254,4
255,4
256,4
257,4
258,2
259,2
260,4
261,4
262,4
263,4
264,2
265,2
266,2
267,4
268,4
269,4
270,4
271,4
272,4
273,4
274,2
275,4
276,4
277,4
278,2
279,2
280,2
281,4
282,2
283,4
284,2
285,4
286,4
287,2
288,2
289,2
290,2
291,2
292,4
293,4
294,2
295,2
296,4
297,2
298,4
299,4
300,4
301,2
302,2
303,2
304,2
305,2
306,4
307,4
308,2
309,4
310,4
311,4
312,4
313,4
314,4
315,4
316,4
317,4
318,4
319,2
320,2
321,4
322,4
323,2
324,4
325,4
326,4
327,4
328,4
329,2
330,2
331,2
332,2
333,4
334,2
335,4
336,2
337,2
338,2
339,4
340,2
341,4
342,2
343,2
344,2
345,4
346,4
347,4
348,4
349,2
350,2
351,2
352,4
353,2
354,2
355,4
356,2
357,2
358,2
359,2
360,2
361,2
362,4
363,2
364,4
365,2
366,4
367,2
368,4
369,4
370,2
371,4
372,2
373,2
374,4
375,2
376,2
377,2
378,4
379,4
380,2
381,4
382,4
383,2
384,2
385,4
386,2
387,2
388,4
389,4
390,2
391,2
392,4
393,4
394,4
395,4
396,2
397,4
398,2
399,2
400,4
401,2
402,4
403,4
404,4
405,4
406,4
407,4
408,2
409,2
410,4
411,2
412,2
413,2
414,4
415,2
416,2
417,4
418,4
419,4
420,2
421,2
422,2
423,4
424,4
425,2
426,4
427,4
428,4
429,4
430,2
431,2
432,2
433,4
434,2
435,2
436,2
437,2
438,2
439,4
440,2
441,2
442,2
443,2
444,4
445,2
446,4
447,4
448,4
449,4
450,2
451,4
452,4
453,4
454,4
455,2
456,4
457,2
458,2
459,2
460,4
461,4
462,4
463,2
464,4
465,4
466,2
467,4
468,2
469,4
470,2
471,4
472,2
473,4
474,4
475,4
476,4
477,4
478,2
479,4
480,4
481,4
482,4
483,2
484,4
485,2
486,2
487,2
488,4
489,4
490,2
491,4
492,2
493,2
494,4
495,2
496,4
497,4
498,2
499,4
500,4
501,2
502,2
503,2
504,4
505,4
506,4
507,2
508,2
509,4
510,4
511,2
512,4
513,4
514,2
515,2
516,4
517,2
518,4
519,4
520,4
521,2
522,2
523,2
524,4
525,2
526,4
527,2
528,4
529,2
530,4
531,2
532,2
533,4
534,2
535,4
536,4
537,4
538,4
539,4
540,4
541,4
542,4
543,4
544,4
545,4
546,4
547,4
548,2
549,2
550,4
551,2
552,2
553,4
554,2
555,4
556,4
557,4
558,2
559,4
560,2
561,4
562,4
563,4
564,2
565,4
566,2
567,4
568,2
569,2
570,2
571,4
572,2
573,4
574,4
575,4
576,2
577,2
578,2
579,2
580,4
581,4
582,4
583,2
584,2
585,4
586,4
587,2
588,4
589,2
590,2
591,2
592,4
593,4
594,2
595,2
596,4
597,4
598,4
599,4
600,4
601,4
602,2
603,2
604,2
605,4
606,2
607,4
608,2
609,4
610,2
611,2
612,2
613,2
614,4
615,2
616,4
617,2
618,2
619,4
620,2
621,2
622,2
623,2
624,2
625,2
626,4
627,4
628,4
629,4
630,4
631,2
632,2
633,2
634,4
635,2
636,2
637,2
638,2
639,4
640,4
641,4
642,2
643,4
644,2
645,2
646,4
647,2
648,4
649,2
650,2
651,4
652,4
653,4
654,4
655,2
656,4
657,4
658,4
659,2
660,4
661,4
662,2
663,4
664,4
665,2
666,2
667,2
668,2
669,4
670,2
671,4
672,4
673,4
674,2
675,2
676,4
677,4
678,4
679,4
680,2
