model,failed_instances,category,fnr_within_failed_instances,fpr_within_failed_instances,false_negative_count,false_positive_count,positive_total_across_failed_runs,negative_total_across_failed_runs
chatgpt,146,Infrastructure Management Debt,0.2669172932330827,0.5529100529100529,71,418,266,756
chatgpt,146,IaC Code Debt,0.0423861852433281,0.961038961038961,27,370,637,385
chatgpt,146,Dependency Management,0.5128205128205128,0.11214953271028037,140,84,273,749
chatgpt,146,Security Debt,0.750965250965251,0.12103174603174603,389,61,518,504
chatgpt,146,Networking Debt,0.7192118226600985,0.08058608058608059,146,66,203,819
chatgpt,146,Environment-Based Configuration Debt,0.8469387755102041,0.05952380952380952,83,55,98,924
chatgpt,146,Monitoring and Logging Debt,0.6746031746031746,0.0,85,0,126,896
chatgpt,146,Test Debt,0.5555555555555556,0.04799107142857143,70,43,126,896
claude,277,Infrastructure Management Debt,0.20364741641337386,0.5932864949258392,134,760,658,1281
claude,277,IaC Code Debt,0.13703943115707823,0.8698979591836735,212,341,1547,392
claude,277,Dependency Management,0.09663865546218488,0.4573780129335685,23,778,238,1701
claude,277,Security Debt,0.5978391356542617,0.2848101265822785,498,315,833,1106
claude,277,Networking Debt,0.44360902255639095,0.22534369396294082,118,377,266,1673
claude,277,Environment-Based Configuration Debt,0.5164835164835165,0.24945887445887446,47,461,91,1848
claude,277,Monitoring and Logging Debt,0.6,0.048360200111172875,84,87,140,1799
claude,277,Test Debt,0.6956521739130435,0.021372328458942633,112,38,161,1778
deepseek,159,Infrastructure Management Debt,0.35960591133004927,0.42715700141442714,146,302,406,707
deepseek,159,IaC Code Debt,0.034340659340659344,0.9688311688311688,25,373,728,385
deepseek,159,Dependency Management,0.29017857142857145,0.1687289088863892,65,150,224,889
deepseek,159,Security Debt,0.5835010060362174,0.237012987012987,290,146,497,616
deepseek,159,Networking Debt,0.5551020408163265,0.1152073732718894,136,100,245,868
deepseek,159,Environment-Based Configuration Debt,0.7053571428571429,0.04795204795204795,79,48,112,1001
deepseek,159,Monitoring and Logging Debt,0.7523809523809524,0.001984126984126984,79,2,105,1008
deepseek,159,Test Debt,0.7357142857142858,0.02158273381294964,103,21,140,973
gemini,123,Infrastructure Management Debt,0.3319327731092437,0.5746388443017657,79,358,238,623
gemini,123,IaC Code Debt,0.0,1.0,0,371,490,371
gemini,123,Dependency Management,0.5185185185185185,0.18601190476190477,98,125,189,672
gemini,123,Security Debt,0.6598639455782312,0.2,291,84,441,420
gemini,123,Networking Debt,0.7142857142857143,0.11764705882352941,105,84,147,714
gemini,123,Environment-Based Configuration Debt,0.8461538461538461,0.03636363636363636,77,28,91,770
gemini,123,Monitoring and Logging Debt,0.8823529411764706,0.009433962264150943,105,7,119,742
gemini,123,Test Debt,1.0,0.02077922077922078,91,16,91,770
gemma,220,Infrastructure Management Debt,0.19419642857142858,0.6730769230769231,87,735,448,1092
gemma,220,IaC Code Debt,0.012738853503184714,1.0,14,441,1099,441
gemma,220,Dependency Management,0.38095238095238093,0.2453416149068323,96,316,252,1288
gemma,220,Security Debt,0.5563186813186813,0.27216748768472904,405,221,728,812
gemma,220,Networking Debt,0.5112781954887218,0.25039246467817894,136,319,266,1274
gemma,220,Environment-Based Configuration Debt,0.8775510204081632,0.20180305131761442,86,291,98,1442
gemma,220,Monitoring and Logging Debt,0.5333333333333333,0.037630662020905925,56,54,105,1435
gemma,220,Test Debt,0.6218487394957983,0.06192821956368754,74,88,119,1421
qwen,168,Infrastructure Management Debt,0.39408866995073893,0.412987012987013,160,318,406,770
qwen,168,IaC Code Debt,0.33371428571428574,0.8504983388704319,292,256,875,301
qwen,168,Dependency Management,0.4523809523809524,0.10770975056689343,133,95,294,882
qwen,168,Security Debt,0.7094155844155844,0.18035714285714285,437,101,616,560
qwen,168,Networking Debt,0.6640926640926641,0.1821155943293348,172,167,259,917
qwen,168,Environment-Based Configuration Debt,0.9285714285714286,0.11224489795918367,91,121,98,1078
qwen,168,Monitoring and Logging Debt,0.7244897959183674,0.00927643784786642,71,10,98,1078
qwen,168,Test Debt,0.6696428571428571,0.03759398496240601,75,40,112,1064
